No.,Nationality,Position,Player
3,Brazil,MF,Fabinho
4,Netherlands,DF,Virgil van Dijk
5,Netherlands,MF,Georginio Wijnaldum
6,Croatia,DF,Dejan Lovren
7,England,MF,James Milner 
8,Guinea,MF,Naby Keïta
9,Brazil,FW,Roberto Firmino
10,Senegal,FW,Sadio Mané
11,Egypt,FW,Mohamed Salah
12,England,DF,Joe Gomez
13,Brazil,GK,Alisson
14,England,MF,Jordan Henderson
15,England,FW,Daniel Sturridge
18,Spain,DF,Alberto Moreno
20,England,MF,Adam Lallana
21,England,MF,Alex Oxlade-Chamberlain
22,Belgium,GK,Simon Mignolet
23,Switzerland,MF,Xherdan Shaqiri
24,England,FW,Rhian Brewster
26,Scotland,DF,Andrew Robertson
27,Belgium,FW,Divock Origi
32,Cameroon,DF,Joël Matip
47,England,DF,Nathaniel Phillips
48,England,MF,Curtis Jones
58,Wales,FW,Ben Woodburn
62,Republic of Ireland,GK,Caoimhin Kelleher
64,Portugal,MF,Rafael Camacho
66,England,DF,Trent Alexander-Arnold